,1,2,3,5,6,7,action,reward
25,1.0,0.5795887,0.0,0.80820096,0.6943234,1.0,8,0.5795887112617493
26,1.0,0.5795887,0.0,0.8094343,0.6937137,1.0,8,0.5795887112617493
27,1.0,0.5795887,0.0,0.8107922,0.6932416,1.0,8,0.5795887112617493
28,1.0,0.5795887,0.0,0.8122337,0.6927903,1.0,8,0.5795887112617493
29,1.0,0.5795887,0.0,0.81375027,0.6923514,1.0,8,0.5795887112617493
30,1.0,0.5795887,0.0,0.8152657,0.69193184,1.0,8,0.5795887112617493
31,1.0,0.5795887,0.0,0.81682336,0.6916824,1.0,8,0.5795887112617493
32,1.0,0.5795887,0.0,0.8183597,0.6915272,1.0,8,0.5795887112617493
33,1.0,0.5795887,0.0,0.8197863,0.6913716,1.0,8,0.5795887112617493
34,1.0,0.5795887,0.0,0.8212547,0.6912,1.0,8,0.5795887112617493
35,1.0,0.5795887,0.0,0.82271105,0.6909939,1.0,8,0.5795887112617493
36,1.0,0.5795887,0.0,0.8241257,0.6907124,1.0,8,0.5795887112617493
37,1.0,0.5795887,0.0,0.8254935,0.6903245,1.0,8,0.5795887112617493
38,1.0,0.5795887,0.0,0.82676774,0.6899144,1.0,8,0.5795887112617493
39,1.0,0.5795887,0.0,0.8278466,0.6894177,1.0,8,0.5795887112617493
40,1.0,0.5795887,0.0,0.8288694,0.688921,1.0,0,0.5795887112617493
41,1.0,0.5795887,0.0,0.8299232,0.6884129,1.0,0,0.5795887112617493
42,1.0,0.5795887,0.0,0.8309982,0.6878559,1.0,0,0.5795887112617493
43,1.0,0.5795887,0.0,0.8321812,0.6874135,1.0,0,0.5795887112617493
44,1.0,0.5795887,0.0,0.83345294,0.68700296,1.0,0,0.5795887112617493
45,1.0,0.5795887,0.0,0.83467734,0.6866705,1.0,0,0.5795887112617493
46,1.0,0.5795887,0.0,0.83586884,0.68636703,1.0,0,0.5795887112617493
47,1.0,0.5795887,0.0,0.83702135,0.68604475,1.0,6,0.5795887112617493
48,1.0,0.5795887,0.0,0.838077,0.68572235,1.0,6,0.5795887112617493
49,1.0,0.5795887,0.0,0.83929443,0.68541974,1.0,6,0.5795887112617493
50,1.0,0.5795887,0.0,0.84042495,0.6851755,1.0,6,0.5795887112617493
51,1.0,0.5795887,0.0,0.84145546,0.685016,1.0,6,0.5795887112617493
52,1.0,0.5795887,0.0,0.8424416,0.684931,1.0,6,0.5795887112617493
53,1.0,0.5795887,0.0,0.8433718,0.6849572,1.0,6,0.5795887112617493
54,1.0,0.5795887,0.0,0.84415805,0.6848902,1.0,6,0.5795887112617493
55,1.0,0.5795887,0.0,0.8449602,0.6848111,1.0,6,0.5795887112617493
56,1.0,0.5795887,0.0,0.84573644,0.6848965,1.0,6,0.5795887112617493
57,1.0,0.5795887,0.0,0.846508,0.68497956,1.0,6,0.5795887112617493
58,1.0,0.5795887,0.0,0.84730077,0.6850647,1.0,0,0.5795887112617493
59,1.0,0.5795887,0.0,0.8480569,0.6852125,1.0,0,0.5795887112617493
60,1.0,0.5795887,0.0,0.84873974,0.68548524,1.0,0,0.5795887112617493
61,1.0,0.5795887,0.0,0.8493878,0.68577474,1.0,0,0.5795887112617493
62,1.0,0.5795887,0.0,0.8501917,0.68614393,1.0,0,0.5795887112617493
63,1.0,0.5795887,0.0,0.8511179,0.68659776,1.0,0,0.5795887112617493
64,1.0,0.5795887,0.0,0.8521923,0.68701994,1.0,0,0.5795887112617493
65,1.0,0.5795887,0.0,0.8532975,0.68733376,1.0,6,0.5795887112617493
66,1.0,0.5795887,0.0,0.85449946,0.68767965,1.0,6,0.5795887112617493
67,1.0,0.5795887,0.0,0.85573643,0.687996,1.0,6,0.5795887112617493
68,1.0,0.5795887,0.0,0.85706174,0.68839705,1.0,6,0.5795887112617493
69,1.0,0.5795887,0.0,0.8583027,0.68873584,1.0,6,0.5795887112617493
70,1.0,0.5795887,0.0,0.8594513,0.689079,1.0,6,0.5795887112617493
71,1.0,0.5795887,0.0,0.86058474,0.6894899,1.0,6,0.5795887112617493
72,1.0,0.5795887,0.0,0.8616625,0.6899379,1.0,0,0.5795887112617493
73,1.0,0.5795887,0.0,0.862778,0.69036525,1.0,0,0.5795887112617493
74,1.0,0.5795887,0.0,0.86393476,0.690802,1.0,0,0.5795887112617493
75,1.0,0.5795887,0.0,0.8650821,0.6913289,1.0,0,0.5795887112617493
76,1.0,0.5795887,0.0,0.8664079,0.6918175,1.0,0,0.5795887112617493
77,1.0,0.5795887,0.0,0.86784947,0.6921559,1.0,6,0.5795887112617493
78,1.0,0.5795887,0.0,0.8694354,0.69245183,1.0,6,0.5795887112617493
79,1.0,0.5795887,0.0,0.8709222,0.6927374,1.0,6,0.5795887112617493
80,1.0,0.5795887,0.0,0.87245345,0.69307816,1.0,6,0.5795887112617493
